Pocket Set	Cosine distance threshold	# of artificially included outlier values	Mean proportion (%)	Min proportion (%)	Max proportion (%)	Standard Deviation (%)
PDB-LIG	0.11	0	0.0013000000000000002	0.0	0.004	0.0011
PDB-LIG	0.11	1	0.0012000000000000001	0.0	0.002	0.0007483314773547884
PDB-LIG	0.11	2	0.0009	0.0	0.002	0.0009433981132056605
PDB-LIG	0.11	3	0.00030000000000000003	0.0	0.001	0.00045825756949558405
PDB-LIG	0.11	4	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.11	5	0.00030000000000000003	0.0	0.002	0.0006403124237432849
PDB-LIG	0.11	6	0.00030000000000000003	0.0	0.001	0.00045825756949558405
PDB-LIG	0.11	7	0.00020000000000000004	0.0	0.001	0.0004000000000000001
PDB-LIG	0.11	8	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.11	9	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.11	10	0.0	0.0	0.0	0.0
PDB-LIG	0.11	11	0.0	0.0	0.0	0.0
PDB-LIG	0.11	12	0.0	0.0	0.0	0.0
PDB-LIG	0.11	13	0.0	0.0	0.0	0.0
PDB-LIG	0.11	14	0.0	0.0	0.0	0.0
PDB-LIG	0.11	15	0.0	0.0	0.0	0.0
PDB-LIG	0.11	16	0.0	0.0	0.0	0.0
PDB-LIG	0.11	17	0.0	0.0	0.0	0.0
PDB-LIG	0.11	18	0.0	0.0	0.0	0.0
PDB-LIG	0.11	19	0.0	0.0	0.0	0.0
PDB-LIG	0.11	20	0.0	0.0	0.0	0.0
PDB-LIG	0.11	21	0.0	0.0	0.0	0.0
PDB-LIG	0.11	22	0.0	0.0	0.0	0.0
PDB-LIG	0.11	23	0.0	0.0	0.0	0.0
PDB-LIG	0.11	24	0.0	0.0	0.0	0.0
PDB-LIG	0.11	25	0.0	0.0	0.0	0.0
PDB-LIG	0.11	26	0.0	0.0	0.0	0.0
PDB-LIG	0.11	27	0.0	0.0	0.0	0.0
PDB-LIG	0.11	28	0.0	0.0	0.0	0.0
PDB-LIG	0.11	29	0.0	0.0	0.0	0.0
PDB-LIG	0.11	30	0.0	0.0	0.0	0.0
PDB-LIG	0.11	31	0.0	0.0	0.0	0.0
PDB-LIG	0.11	32	0.0	0.0	0.0	0.0
PDB-LIG	0.11	33	0.0	0.0	0.0	0.0
PDB-LIG	0.11	34	0.0	0.0	0.0	0.0
PDB-LIG	0.11	35	0.0	0.0	0.0	0.0
PDB-LIG	0.11	36	0.0	0.0	0.0	0.0
PDB-LIG	0.11	37	0.0	0.0	0.0	0.0
PDB-LIG	0.11	38	0.0	0.0	0.0	0.0
PDB-LIG	0.11	39	0.0	0.0	0.0	0.0
PDB-LIG	0.11	40	0.0	0.0	0.0	0.0
PDB-LIG	0.11	41	0.0	0.0	0.0	0.0
PDB-LIG	0.11	42	0.0	0.0	0.0	0.0
PDB-LIG	0.11	43	0.0	0.0	0.0	0.0
PDB-LIG	0.11	44	0.0	0.0	0.0	0.0
PDB-LIG	0.11	45	0.0	0.0	0.0	0.0
PDB-LIG	0.11	46	0.0	0.0	0.0	0.0
PDB-LIG	0.11	47	0.0	0.0	0.0	0.0
PDB-LIG	0.11	48	0.0	0.0	0.0	0.0
PDB-LIG	0.11	49	0.0	0.0	0.0	0.0
PDB-LIG	0.11	50	0.0	0.0	0.0	0.0
PDB-LIG	0.11	51	0.0	0.0	0.0	0.0
PDB-LIG	0.11	52	0.0	0.0	0.0	0.0
PDB-LIG	0.11	53	0.0	0.0	0.0	0.0
PDB-LIG	0.11	54	0.0	0.0	0.0	0.0
PDB-LIG	0.11	55	0.0	0.0	0.0	0.0
PDB-LIG	0.11	56	0.0	0.0	0.0	0.0
PDB-LIG	0.11	57	0.0	0.0	0.0	0.0
PDB-LIG	0.11	58	0.0	0.0	0.0	0.0
PDB-LIG	0.11	59	0.0	0.0	0.0	0.0
PDB-LIG	0.11	60	0.0	0.0	0.0	0.0
PDB-LIG	0.11	61	0.0	0.0	0.0	0.0
PDB-LIG	0.11	62	0.0	0.0	0.0	0.0
PDB-LIG	0.11	63	0.0	0.0	0.0	0.0
PDB-LIG	0.11	64	0.0	0.0	0.0	0.0
PDB-LIG	0.11	65	0.0	0.0	0.0	0.0
PDB-LIG	0.11	66	0.0	0.0	0.0	0.0
PDB-LIG	0.11	67	0.0	0.0	0.0	0.0
PDB-LIG	0.11	68	0.0	0.0	0.0	0.0
PDB-LIG	0.11	69	0.0	0.0	0.0	0.0
PDB-LIG	0.11	70	0.0	0.0	0.0	0.0
PDB-LIG	0.11	71	0.0	0.0	0.0	0.0
PDB-LIG	0.11	72	0.0	0.0	0.0	0.0
PDB-LIG	0.11	73	0.0	0.0	0.0	0.0
PDB-LIG	0.11	74	0.0	0.0	0.0	0.0
PDB-LIG	0.11	75	0.0	0.0	0.0	0.0
PDB-LIG	0.11	76	0.0	0.0	0.0	0.0
PDB-LIG	0.11	77	0.0	0.0	0.0	0.0
PDB-LIG	0.11	78	0.0	0.0	0.0	0.0
PDB-LIG	0.11	79	0.0	0.0	0.0	0.0
PDB-LIG	0.11	80	0.0	0.0	0.0	0.0
PDB-LIG	0.11	81	0.0	0.0	0.0	0.0
PDB-LIG	0.11	82	0.0	0.0	0.0	0.0
PDB-LIG	0.11	83	0.0	0.0	0.0	0.0
PDB-LIG	0.11	84	0.0	0.0	0.0	0.0
PDB-LIG	0.11	85	0.0	0.0	0.0	0.0
PDB-LIG	0.11	86	0.0	0.0	0.0	0.0
PDB-LIG	0.11	87	0.0	0.0	0.0	0.0
PDB-LIG	0.11	88	0.0	0.0	0.0	0.0
PDB-LIG	0.11	89	0.0	0.0	0.0	0.0
PDB-LIG	0.11	90	0.0	0.0	0.0	0.0
PDB-LIG	0.11	91	0.0	0.0	0.0	0.0
PDB-LIG	0.11	92	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.11	93	0.0	0.0	0.0	0.0
PDB-LIG	0.11	94	0.0	0.0	0.0	0.0
PDB-LIG	0.11	95	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.11	96	0.0005	0.0	0.002	0.000670820393249937
PDB-LIG	0.11	97	0.0013000000000000002	0.0	0.003	0.0009
PDB-LIG	0.11	98	0.0024000000000000002	0.0	0.005	0.001854723699099141
PDB-LIG	0.11	99	0.005399999999999999	0.002	0.011000000000000001	0.0030066592756745818
PDB-LIG	0.11	100	0.016300000000000002	0.011000000000000001	0.022000000000000002	0.00363455636907725
PDB-LIG	0.11	101	0.035500000000000004	0.029	0.047	0.006296824596572466
PDB-LIG	0.11	102	0.0787	0.066	0.094	0.007211795892841116
PDB-LIG	0.11	103	0.18409999999999999	0.166	0.20500000000000002	0.01144071676076285
PDB-LIG	0.11	104	0.41000000000000003	0.385	0.46499999999999997	0.027294688127912355
PDB-LIG	0.11	105	0.9173999999999998	0.857	0.97	0.040559092692021605
PDB-LIG	0.11	106	2.0653	1.9789999999999999	2.122	0.04587602859882278
PDB-LIG	0.11	107	4.485200000000001	4.372	4.593	0.06853291180155696
PDB-LIG	0.11	108	9.523699999999998	9.342	9.657	0.09384034313662741
PDB-LIG	0.11	109	19.1939	19.017999999999997	19.415	0.10974556938665012
PDB-LIG	0.11	110	35.7726	35.481	35.992000000000004	0.17197744038099896
PDB-LIG	0.11	111	59.83350000000001	59.443999999999996	60.150000000000006	0.2021189006500899
PDB-LIG	0.11	112	85.8864	85.707	86.107	0.15105575129732784
PDB-LIG	0.11	113	100.0	100.0	100.0	0.0
PDB-LIG	0.11	114	100.0	100.0	100.0	0.0
PDB-LIG	0.11	115	100.0	100.0	100.0	0.0
PDB-LIG	0.11	116	100.0	100.0	100.0	0.0
PDB-LIG	0.11	117	100.0	100.0	100.0	0.0
PDB-LIG	0.11	118	100.0	100.0	100.0	0.0
PDB-LIG	0.11	119	100.0	100.0	100.0	0.0
PDB-LIG	0.11	120	100.0	100.0	100.0	0.0
PDB-LIG	0.11	121	100.0	100.0	100.0	0.0
PDB-LIG	0.11	122	100.0	100.0	100.0	0.0
PDB-LIG	0.11	123	100.0	100.0	100.0	0.0
PDB-LIG	0.11	124	100.0	100.0	100.0	0.0
PDB-LIG	0.11	125	100.0	100.0	100.0	0.0
PDB-LIG	0.11	126	100.0	100.0	100.0	0.0
PDB-LIG	0.11	127	100.0	100.0	100.0	0.0
PDB-LIG	0.13	0	0.007100000000000002	0.005	0.012	0.002211334438749598
PDB-LIG	0.13	1	0.006500000000000001	0.003	0.012	0.0026551836094703507
PDB-LIG	0.13	2	0.005600000000000001	0.002	0.011000000000000001	0.0027276363393971713
PDB-LIG	0.13	3	0.0045000000000000005	0.0	0.008	0.002247220505424423
PDB-LIG	0.13	4	0.0023	0.0	0.006	0.0020024984394500784
PDB-LIG	0.13	5	0.0023	0.0	0.008	0.002193171219946131
PDB-LIG	0.13	6	0.002	0.0	0.004	0.0010954451150103322
PDB-LIG	0.13	7	0.0014000000000000002	0.0	0.003	0.0008000000000000001
PDB-LIG	0.13	8	0.0006000000000000001	0.0	0.002	0.0008000000000000001
PDB-LIG	0.13	9	0.0007000000000000001	0.0	0.002	0.0006403124237432849
PDB-LIG	0.13	10	0.00030000000000000003	0.0	0.002	0.0006403124237432849
PDB-LIG	0.13	11	0.0004000000000000001	0.0	0.002	0.00066332495807108
PDB-LIG	0.13	12	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.13	13	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.13	14	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.13	15	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.13	16	0.00020000000000000004	0.0	0.001	0.0004000000000000001
PDB-LIG	0.13	17	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.13	18	0.0	0.0	0.0	0.0
PDB-LIG	0.13	19	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.13	20	0.0	0.0	0.0	0.0
PDB-LIG	0.13	21	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.13	22	0.0	0.0	0.0	0.0
PDB-LIG	0.13	23	0.0	0.0	0.0	0.0
PDB-LIG	0.13	24	0.0	0.0	0.0	0.0
PDB-LIG	0.13	25	0.0	0.0	0.0	0.0
PDB-LIG	0.13	26	0.0	0.0	0.0	0.0
PDB-LIG	0.13	27	0.0	0.0	0.0	0.0
PDB-LIG	0.13	28	0.0	0.0	0.0	0.0
PDB-LIG	0.13	29	0.0	0.0	0.0	0.0
PDB-LIG	0.13	30	0.0	0.0	0.0	0.0
PDB-LIG	0.13	31	0.0	0.0	0.0	0.0
PDB-LIG	0.13	32	0.0	0.0	0.0	0.0
PDB-LIG	0.13	33	0.0	0.0	0.0	0.0
PDB-LIG	0.13	34	0.0	0.0	0.0	0.0
PDB-LIG	0.13	35	0.0	0.0	0.0	0.0
PDB-LIG	0.13	36	0.0	0.0	0.0	0.0
PDB-LIG	0.13	37	0.0	0.0	0.0	0.0
PDB-LIG	0.13	38	0.0	0.0	0.0	0.0
PDB-LIG	0.13	39	0.0	0.0	0.0	0.0
PDB-LIG	0.13	40	0.0	0.0	0.0	0.0
PDB-LIG	0.13	41	0.0	0.0	0.0	0.0
PDB-LIG	0.13	42	0.0	0.0	0.0	0.0
PDB-LIG	0.13	43	0.0	0.0	0.0	0.0
PDB-LIG	0.13	44	0.0	0.0	0.0	0.0
PDB-LIG	0.13	45	0.0	0.0	0.0	0.0
PDB-LIG	0.13	46	0.0	0.0	0.0	0.0
PDB-LIG	0.13	47	0.0	0.0	0.0	0.0
PDB-LIG	0.13	48	0.0	0.0	0.0	0.0
PDB-LIG	0.13	49	0.0	0.0	0.0	0.0
PDB-LIG	0.13	50	0.0	0.0	0.0	0.0
PDB-LIG	0.13	51	0.0	0.0	0.0	0.0
PDB-LIG	0.13	52	0.0	0.0	0.0	0.0
PDB-LIG	0.13	53	0.0	0.0	0.0	0.0
PDB-LIG	0.13	54	0.0	0.0	0.0	0.0
PDB-LIG	0.13	55	0.0	0.0	0.0	0.0
PDB-LIG	0.13	56	0.0	0.0	0.0	0.0
PDB-LIG	0.13	57	0.0	0.0	0.0	0.0
PDB-LIG	0.13	58	0.0	0.0	0.0	0.0
PDB-LIG	0.13	59	0.0	0.0	0.0	0.0
PDB-LIG	0.13	60	0.0	0.0	0.0	0.0
PDB-LIG	0.13	61	0.0	0.0	0.0	0.0
PDB-LIG	0.13	62	0.0	0.0	0.0	0.0
PDB-LIG	0.13	63	0.0	0.0	0.0	0.0
PDB-LIG	0.13	64	0.0	0.0	0.0	0.0
PDB-LIG	0.13	65	0.0	0.0	0.0	0.0
PDB-LIG	0.13	66	0.0	0.0	0.0	0.0
PDB-LIG	0.13	67	0.0	0.0	0.0	0.0
PDB-LIG	0.13	68	0.0	0.0	0.0	0.0
PDB-LIG	0.13	69	0.0	0.0	0.0	0.0
PDB-LIG	0.13	70	0.0	0.0	0.0	0.0
PDB-LIG	0.13	71	0.0	0.0	0.0	0.0
PDB-LIG	0.13	72	0.0	0.0	0.0	0.0
PDB-LIG	0.13	73	0.0	0.0	0.0	0.0
PDB-LIG	0.13	74	0.0	0.0	0.0	0.0
PDB-LIG	0.13	75	0.0	0.0	0.0	0.0
PDB-LIG	0.13	76	0.0	0.0	0.0	0.0
PDB-LIG	0.13	77	0.0	0.0	0.0	0.0
PDB-LIG	0.13	78	0.0	0.0	0.0	0.0
PDB-LIG	0.13	79	0.0	0.0	0.0	0.0
PDB-LIG	0.13	80	0.0	0.0	0.0	0.0
PDB-LIG	0.13	81	0.0	0.0	0.0	0.0
PDB-LIG	0.13	82	0.0	0.0	0.0	0.0
PDB-LIG	0.13	83	0.0	0.0	0.0	0.0
PDB-LIG	0.13	84	0.0	0.0	0.0	0.0
PDB-LIG	0.13	85	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.13	86	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.13	87	0.00020000000000000004	0.0	0.001	0.0004000000000000001
PDB-LIG	0.13	88	0.00020000000000000004	0.0	0.001	0.0004000000000000001
PDB-LIG	0.13	89	0.0004000000000000001	0.0	0.002	0.00066332495807108
PDB-LIG	0.13	90	0.0007000000000000001	0.0	0.002	0.0009
PDB-LIG	0.13	91	0.0022	0.0	0.004	0.0016000000000000003
PDB-LIG	0.13	92	0.0036000000000000008	0.0	0.006	0.0016248076809271923
PDB-LIG	0.13	93	0.006800000000000001	0.003	0.011000000000000001	0.002821347195933177
PDB-LIG	0.13	94	0.0159	0.004	0.021	0.004784349485562275
PDB-LIG	0.13	95	0.0315	0.024	0.04	0.004780167361086849
PDB-LIG	0.13	96	0.05610000000000001	0.042	0.068	0.00900499861188218
PDB-LIG	0.13	97	0.1092	0.083	0.13799999999999998	0.01732512626216617
PDB-LIG	0.13	98	0.20010000000000003	0.174	0.22300000000000003	0.01605272562526377
PDB-LIG	0.13	99	0.38039999999999996	0.345	0.414	0.02233472632471684
PDB-LIG	0.13	100	0.7232000000000001	0.679	0.767	0.028049242414011816
PDB-LIG	0.13	101	1.3678000000000001	1.294	1.414	0.03288403868140287
PDB-LIG	0.13	102	2.5204000000000004	2.448	2.582	0.04632321232384474
PDB-LIG	0.13	103	4.5928	4.498	4.681	0.05485398800451977
PDB-LIG	0.13	104	8.2492	8.08	8.392	0.10042987603298134
PDB-LIG	0.13	105	14.3458	14.111	14.508	0.11774531837826874
PDB-LIG	0.13	106	23.9748	23.711	24.322	0.19017980965391687
PDB-LIG	0.13	107	38.047399999999996	37.653	38.440999999999995	0.2148637707944271
PDB-LIG	0.13	108	56.4631	56.135000000000005	56.785	0.20382563626786349
PDB-LIG	0.13	109	76.3634	76.057	76.571	0.1255382013571967
PDB-LIG	0.13	110	92.5573	92.432	92.67699999999999	0.0659439913866303
PDB-LIG	0.13	111	100.0	100.0	100.0	0.0
PDB-LIG	0.13	112	100.0	100.0	100.0	0.0
PDB-LIG	0.13	113	100.0	100.0	100.0	0.0
PDB-LIG	0.13	114	100.0	100.0	100.0	0.0
PDB-LIG	0.13	115	100.0	100.0	100.0	0.0
PDB-LIG	0.13	116	100.0	100.0	100.0	0.0
PDB-LIG	0.13	117	100.0	100.0	100.0	0.0
PDB-LIG	0.13	118	100.0	100.0	100.0	0.0
PDB-LIG	0.13	119	100.0	100.0	100.0	0.0
PDB-LIG	0.13	120	100.0	100.0	100.0	0.0
PDB-LIG	0.13	121	100.0	100.0	100.0	0.0
PDB-LIG	0.13	122	100.0	100.0	100.0	0.0
PDB-LIG	0.13	123	100.0	100.0	100.0	0.0
PDB-LIG	0.13	124	100.0	100.0	100.0	0.0
PDB-LIG	0.13	125	100.0	100.0	100.0	0.0
PDB-LIG	0.13	126	100.0	100.0	100.0	0.0
PDB-LIG	0.13	127	100.0	100.0	100.0	0.0
PDB-LIG	0.15	0	0.0413	0.029	0.051000000000000004	0.006277738446287803
PDB-LIG	0.15	1	0.042300000000000004	0.032	0.055999999999999994	0.006099999999999998
PDB-LIG	0.15	2	0.039599999999999996	0.03	0.05	0.005388877434122993
PDB-LIG	0.15	3	0.032900000000000006	0.02	0.043	0.008092589202474075
PDB-LIG	0.15	4	0.029499999999999995	0.017	0.04	0.006530696746902279
PDB-LIG	0.15	5	0.0249	0.006999999999999999	0.036000000000000004	0.007244998274671983
PDB-LIG	0.15	6	0.0193	0.013	0.026	0.0033181320046074114
PDB-LIG	0.15	7	0.0161	0.01	0.022000000000000002	0.0034190641994557513
PDB-LIG	0.15	8	0.013300000000000001	0.008	0.021	0.004405678154382138
PDB-LIG	0.15	9	0.0101	0.006	0.016	0.003207802986469088
PDB-LIG	0.15	10	0.0072	0.003	0.015	0.003458323293158116
PDB-LIG	0.15	11	0.0051	0.0	0.01	0.0026248809496813375
PDB-LIG	0.15	12	0.0055	0.002	0.01	0.0027294688127912363
PDB-LIG	0.15	13	0.0039000000000000007	0.001	0.006999999999999999	0.0015779733838059498
PDB-LIG	0.15	14	0.0029000000000000007	0.001	0.005	0.001044030650891055
PDB-LIG	0.15	15	0.0029000000000000007	0.001	0.005	0.0012206555615733702
PDB-LIG	0.15	16	0.002	0.0	0.004	0.001341640786499874
PDB-LIG	0.15	17	0.0013000000000000002	0.0	0.004	0.0012688577540449523
PDB-LIG	0.15	18	0.0014000000000000002	0.0	0.004	0.0011135528725660043
PDB-LIG	0.15	19	0.0005	0.0	0.002	0.0008062257748298552
PDB-LIG	0.15	20	0.0005000000000000001	0.0	0.002	0.000670820393249937
PDB-LIG	0.15	21	0.00020000000000000004	0.0	0.001	0.0004000000000000001
PDB-LIG	0.15	22	0.00020000000000000004	0.0	0.001	0.0004000000000000001
PDB-LIG	0.15	23	0.0005	0.0	0.002	0.000670820393249937
PDB-LIG	0.15	24	0.00030000000000000003	0.0	0.001	0.00045825756949558405
PDB-LIG	0.15	25	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.15	26	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.15	27	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.15	28	0.0	0.0	0.0	0.0
PDB-LIG	0.15	29	0.0	0.0	0.0	0.0
PDB-LIG	0.15	30	0.0	0.0	0.0	0.0
PDB-LIG	0.15	31	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.15	32	0.0	0.0	0.0	0.0
PDB-LIG	0.15	33	0.0	0.0	0.0	0.0
PDB-LIG	0.15	34	0.0	0.0	0.0	0.0
PDB-LIG	0.15	35	0.0	0.0	0.0	0.0
PDB-LIG	0.15	36	0.0	0.0	0.0	0.0
PDB-LIG	0.15	37	0.00010000000000000002	0.0	0.001	0.00030000000000000003
PDB-LIG	0.15	38	0.0	0.0	0.0	0.0
PDB-LIG	0.15	39	0.0	0.0	0.0	0.0
PDB-LIG	0.15	40	0.0	0.0	0.0	0.0
PDB-LIG	0.15	41	0.0	0.0	0.0	0.0
PDB-LIG	0.15	42	0.0	0.0	0.0	0.0
PDB-LIG	0.15	43	0.0	0.0	0.0	0.0
PDB-LIG	0.15	44	0.0	0.0	0.0	0.0
PDB-LIG	0.15	45	0.0	0.0	0.0	0.0
PDB-LIG	0.15	46	0.0	0.0	0.0	0.0
